Batch,Gen,NPC,Fit_Best,Fit_Mean,Complexity_Mean
15,21,Mushroom,29.333333253860474,10.54486492574215,4.57
15,22,HumanSword,29.00119686126709,20.802400894761085,6.53
15,22,Mushroom,29.18315362930298,10.28240099132061,4.69
15,23,HumanSword,29.002371609210968,20.109686105549336,6.62
15,23,Mushroom,29.27792739868164,10.09968619555235,4.57
15,24,HumanSword,29.011789858341217,20.86122222095728,6.35
15,24,Mushroom,29.32348918914795,10.941222284734248,4.67
15,25,HumanSword,29.00112420320511,21.678455695807934,6.61
15,25,Mushroom,25.684887886047363,10.248455763161182,4.55
15,26,HumanSword,31.862403512001038,21.38292591571808,6.59
15,26,Mushroom,26.86344051361084,10.16292599439621,4.64
15,27,HumanSword,29.0120530128479,20.237667995393277,6.73
15,27,Mushroom,29.218206644058228,10.237668081820011,4.57
15,28,HumanSword,29.006056487560272,21.616624114215373,6.59
15,28,Mushroom,29.248079776763916,9.781624222099781,4.68
15,29,HumanSword,29.01537972688675,20.68756613999605,6.54
15,29,Mushroom,29.194665670394897,10.442566209733487,4.51
15,30,HumanSword,29.004133641719818,20.02501394867897,7.19
15,30,Mushroom,29.2796893119812,10.680014009475707,4.68
15,31,HumanSword,29.00467801094055,20.51593832850456,7.14
15,31,Mushroom,29.326441526412964,10.515938400030135,4.67
15,32,HumanSword,29.002857267856598,20.625344243645667,7.52
15,32,Mushroom,27.10948896408081,10.370344278216361,4.6
15,33,HumanSword,30.967518538236618,21.691176423728464,7.98
15,33,Mushroom,26.94937038421631,11.49117646843195,4.57
15,34,HumanSword,29.009925842285156,18.572023559212685,8.07
15,34,Mushroom,29.034974336624146,12.057023579478264,4.59
15,35,HumanSword,29.004422545433044,20.106666080653667,7.85
15,35,Mushroom,29.34255623817444,11.156666167080402,4.61
15,36,HumanSword,31.864274978637695,19.42137801080942,7.95
15,36,Mushroom,29.240000009536743,11.35137807458639,4.52
15,37,HumanSword,29.00078195333481,19.861248308718203,8.03
15,37,Mushroom,28.90300416946411,10.096248421370984,4.48
15,38,HumanSword,29.002590894699097,20.478908340632916,7.9
15,38,Mushroom,26.945428371429443,9.238908429443836,4.5
15,39,HumanSword,29.004444301128387,21.99100268095732,8.57
15,39,Mushroom,29.133470058441162,10.891002773344518,4.6
15,40,HumanSword,29.005903959274292,19.113258638978003,7.79
15,40,Mushroom,28.013681888580322,9.1932587236166,4.43
15,41,HumanSword,29.004173934459686,21.648488833904267,8.1
15,41,Mushroom,25.29332208633423,9.538488920927048,4.44
15,42,HumanSword,29.004285991191864,22.457613372802733,8.3
15,42,Mushroom,29.23797059059143,10.112613475322723,4.53
15,43,HumanSword,29.005169928073883,22.436665452420712,8.55
15,43,Mushroom,29.156281232833862,9.431665549576282,4.48
15,44,HumanSword,29.001032412052155,21.819314872026442,7.86
15,44,Mushroom,29.32547688484192,10.144314979314805,4.48
15,45,HumanSword,29.00160777568817,20.29260679423809,8.55
15,45,Mushroom,28.03056287765503,10.307606869339942,4.46
15,46,HumanSword,31.86045527458191,21.387701722085477,7.73
15,46,Mushroom,28.208428859710693,10.537701814472676,4.4
15,47,HumanSword,29.00617879629135,19.777825750112534,7.72
15,47,Mushroom,28.422222137451172,10.02782586336136,4.48
15,48,HumanSword,29.001386523246765,20.982577120065688,7.35
15,48,Mushroom,29.146828174591064,10.272577236890793,4.37
15,49,HumanSword,29.003924787044525,21.32064195305109,7.29
15,49,Mushroom,28.561920166015625,10.630642071664333,4.35
15,50,HumanSword,29.00888878107071,20.740560725033284,7.73
15,50,Mushroom,28.924444675445557,10.40056086152792,4.44
15,51,HumanSword,29.011233389377594,20.118112354278566,7.89
15,51,Mushroom,29.34666657447815,9.658112471103669,4.4
15,52,HumanSword,31.85944378376007,20.919096129834653,8.57
15,52,Mushroom,29.307320833206177,11.139096191227436,4.46
15,53,HumanSword,29.008199512958527,22.392284203469753,8.37
15,53,Mushroom,29.34214997291565,10.097284320890903,4.51
15,54,HumanSword,29.007703602313995,21.395648888647557,9.11
15,54,Mushroom,28.884275436401367,10.065648973882197,4.41
15,55,HumanSword,29.00842171907425,21.394000371694563,9.38
15,55,Mushroom,29.29166340827942,11.224000438451768,4.51
15,56,HumanSword,29.006508588790894,19.971616112589835,9.16
15,56,Mushroom,29.049057483673096,11.406616180539132,4.43
15,57,HumanSword,29.00467324256897,19.290130664110183,9.15
15,57,Mushroom,28.720228672027588,10.845130718946457,4.64
15,58,HumanSword,29.006370902061462,20.695414001345636,9.04
15,58,Mushroom,28.95876932144165,11.5254140740633,4.92
15,59,HumanSword,29.00786966085434,19.630902323126794,9.28
15,59,Mushroom,28.961210250854492,11.195902398228645,4.89
15,60,HumanSword,29.003244876861572,21.04552577674389,9.43
15,60,Mushroom,28.52016544342041,12.150525849461555,4.95
15,61,HumanSword,28.96812915802002,21.039156372249128,9.1
15,61,Mushroom,28.21808099746704,11.524156472980977,5.32
15,62,HumanSword,28.872124910354614,21.320505083501338,9.09
15,62,Mushroom,28.599759101867676,12.44050513893366,5.55
15,63,HumanSword,29.014461278915405,22.152863619625567,9.43
15,63,Mushroom,28.88798236846924,11.077863712012768,5.93
15,64,HumanSword,29.002768516540527,21.16783105581999,9.35
15,64,Mushroom,29.22045636177063,11.907831139862537,5.83
15,65,HumanSword,29.01247090101242,22.01667900711298,8.99
15,65,Mushroom,29.262552976608276,12.3316790792346,6.01
15,66,HumanSword,29.01261168718338,23.181424747109414,9.31
15,66,Mushroom,29.09768581390381,11.63142482459545,5.82
15,67,HumanSword,28.9900906085968,22.915908270478248,9.58
15,67,Mushroom,29.105610132217407,11.325908350348472,6.02
15,68,HumanSword,29.015185058116913,21.417321957349778,9.41
15,68,Mushroom,28.877646446228027,11.732322050333023,6.13
15,69,HumanSword,29.014867782592773,22.703351916968824,9.54
15,69,Mushroom,29.172435522079468,11.738351993858814,6.06
15,70,HumanSword,29.003662168979645,22.842889270186426,9.7
15,70,Mushroom,23.080092906951904,10.562889358401298,6.03
15,71,HumanSword,29.007682263851166,21.76656141370535,9.4
15,71,Mushroom,29.323237895965576,11.536561451256276,6.06
15,72,HumanSword,29.011385202407837,23.24084446847439,9.38
15,72,Mushroom,29.369757652282715,11.470844517350196,6.12
15,73,HumanSword,28.97912037372589,21.938701561689378,9.47
15,73,Mushroom,29.311111211776733,12.153701630830765,6.07
15,74,HumanSword,28.943687558174133,22.09664876997471,9.24
15,74,Mushroom,28.086562871932983,12.721648823618889,6.25
15,75,HumanSword,28.871990203857422,22.492007485032083,9.46
15,75,Mushroom,29.247011423110962,10.882007500529289,6.17
15,76,HumanSword,29.004385352134705,22.421690032482147,9.52
15,76,Mushroom,28.72397518157959,11.386690101623536,6.42
15,77,HumanSword,29.014076232910156,22.805074886679648,9.46
15,77,Mushroom,24.0614275932312,11.450074909329414,6.47
15,78,HumanSword,29.005929946899414,22.55739777892828,9.32
15,78,Mushroom,28.03109049797058,12.112397800981999,6.34
15,79,HumanSword,28.936313271522522,22.80390384197235,9.67
15,79,Mushroom,25.93259334564209,11.703903889656067,6.12
15,80,HumanSword,29.00801771879196,23.411017583310603,9.51
15,80,Mushroom,28.319451808929443,11.511017628014088,6.22
15,81,HumanSword,29.005111694335938,24.115250045955182,9.41
15,81,Mushroom,28.036808729171753,11.095250115692615,6.08
15,82,HumanSword,29.013695180416107,22.421024503111838,9.51
15,82,Mushroom,27.8792507648468,11.316024603247643,6.07
15,83,HumanSword,29.003393828868866,23.52318363517523,9.28
15,83,Mushroom,23.080198287963867,10.983183700144291,6.24
15,84,HumanSword,29.00393044948578,23.21205664217472,9.3
15,84,Mushroom,29.318675756454468,11.697056722044945,6.34
15,85,HumanSword,29.011844396591187,22.353742140829564,9.56
15,85,Mushroom,29.23929762840271,11.848742142617702,6.31
15,86,HumanSword,29.01193940639496,23.861936331689357,9.29
15,86,Mushroom,26.82466220855713,12.096936372816563,6.25
15,87,HumanSword,28.908875703811646,23.064921177625656,9.22
15,87,Mushroom,28.97590446472168,11.489921213388444,6.14
15,88,HumanSword,29.000729382038116,23.658888305425645,9.35
15,88,Mushroom,29.18440079689026,11.108888370990753,6.31
15,89,HumanSword,29.006713926792145,23.508632640242578,9.15
15,89,Mushroom,29.387213706970215,11.963632701039314,6.37
15,90,HumanSword,29.002901256084442,22.197729214429856,9.38
15,90,Mushroom,28.826039791107178,11.642729278802872,6.15
15,91,HumanSword,29.004042267799377,23.31526001751423,8.94
15,91,Mushroom,29.34333634376526,11.620260090231895,6.26
15,92,HumanSword,28.935399651527405,24.239801350533963,9.28
15,92,Mushroom,29.098905086517334,11.11480140119791,6.08
15,93,HumanSword,29.01351934671402,21.60820310562849,9.09
15,93,Mushroom,29.192222595214844,12.298203183710575,6.36
15,94,HumanSword,29.003278076648712,23.680416327416896,9.02
15,94,Mushroom,21.91697931289673,10.830416378080844,6.37
15,95,HumanSword,29.012879192829132,21.77495556920767,9.07
15,95,Mushroom,25.70552396774292,11.294955594837665,6.27
15,96,HumanSword,29.00546932220459,23.116456141769888,9.23
15,96,Mushroom,25.331345081329346,11.136456238925456,6.45
